"levelId","oldRank","newRank","oldScore","newScore","coverage","tier","avgChoices","maxChoices","localRun","nearOuterRun","directionalRisk","stripeRisk","solveTraceQuality","collapseRisk","axisRun","dirHeadRun","regionEntropy","frontWidthAvg","depLocalSameRegion","newRejectReasons","assetPath"
"sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b","VisualKeep","TraceOrderKeep","1.945","2.633","0.975","B","4.65","8","4","4","0.109","0.015","0.883","0.17","7","5","0.979","3.412","0.468","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b.asset"
"sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a","VisualKeep","TraceOrderKeep","1.922","2.609","0.984","B","4.77","8","5","5","0.234","0.055","0.762","0.196","5","5","0.973","4","0.556","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a.asset"
"sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a","VisualKeep","TraceOrderKeep","1.862","2.556","0.975","B","5.68","8","6","4","0.206","0.04","0.887","0.15","7","5","0.997","4.6","0.475","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a.asset"
"sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b","VisualKeep","TraceOrderKeep","1.854","2.534","0.978","B","6.36","11","4","4","0.109","0.002","0.859","0.174","8","5","0.991","4.791","0.562","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b.asset"
"sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b","VisualKeep","TraceOrderKeep","1.877","2.531","0.984","B","6.67","10","5","4","0.18","0","0.803","0.263","8","7","0.985","5.076","0.516","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b.asset"
"sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a","VisualKeep","VisualKeep","1.813","1.831","0.981","B","6.03","10","6","4","0.229","0.112","0.797","0.387","11","11","0.99","3.773","0.524","solveTraceCollapseRisk>0.35;sameAxisRun>8;sameDirRun>7","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a.asset"
