"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"True","7461.7","25","3","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order25_trace_joined.csv","True","0.982","10","5","5","0.931","0.117","6","5"
"True","6617.4","25","3","c5hole_lowchoice_v1_h01r_10_nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_10_nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order25_trace_joined.csv","True","0.989","11","4","3","0.851","0.224","6","6"
"True","6193.4","25","3","c5hole_lowchoice_v1_h01r_09_nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_09_nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order25_trace_joined.csv","True","0.992","11","7","6","0.865","0.204","9","5"
