"levelId","path","width","height","chains","solved","steps","outerSimpleChainCount","outerSimpleChainRate","outerSimpleCellRate","outerSimpleSideMax","outerLongStraightChainCount","outerLongStraightChainRate","outerLongStraightCellRate","outerLongStraightSideMax","outerExitHeadCount","outerExitHeadRate","outerExitHeadSideMax","counterfactualDecisionSteps","counterfactualForcedStepRate","counterfactualBranchDivergenceAvg","counterfactualBranchDivergenceMax","counterfactualBestFutureValueAvg","counterfactualGreedyFutureValueAvg","counterfactualGreedyRegretAvg","counterfactualMeaningfulOptionRate","counterfactualLocalOnlyStepRate","counterfactualFakeChoiceRate","choiceControlScoreV1","counterfactualScoreV1","antiFlowScoreV1","outerCleanScoreV1","difficultyScoreV1","openers","avgChoices","choiceP50","choiceP80","maxChoices","over8Rate","over10Rate","over12Rate","low2Rate","choicePeakCount","choicePeakRate","choicePeakExcess","outerAvailableChoiceAvg","outerAvailableChoiceMax","outerAvailableChoiceRate","outerAvailableHeavyStepRate","outerExitAvailableChoiceAvg","outerExitAvailableChoiceMax","outerExitAvailableChoiceRate","outerExitAvailableHeavyStepRate","sameSideOuterAvailableChoiceMax","sameSideOuterExitAvailableChoiceMax","unlockBursts","keyLockSteps","maxUnlockBurst","meaningfulUnlocks","localConveyorEdges","meaningfulUnlockRate","localConveyorRunMax","localUnlockBurstCount","localUnlockBurstMax","nearOuterLocalUnlockBurstMax","avgSolveJumpDistance","nearSolveRunMax","sameRegionSolveRunMax","localPatchSolveCount","localPatchSolveRate","localPatchSolveRunMax","localPatchDependencyCount","localPatchDependencyRate","localPatchDependencyRunMax","nearOuterPatchSolveCount","nearOuterPatchSolveRate","nearOuterPatchSolveRunMax","sameSideNearOuterPatchSolveCount","sameSideNearOuterPatchSolveRate","sameSideNearOuterPatchSolveRunMax","localWindow5MicroMax","localWindow5NeighborMax","nearOuterWindow5NeighborMax","dependencyFollowCount","dependencyFollowRate","dependencyFollowRunMax","dependencyFollowMeaningfulRate","dependencyRegionTransitionRate","dependencyDirectionChangeRate","dependencyFarRate","dependencyDistanceAvg","dependencyDistanceMin","dependencyDistanceP20","dependencySameSideOuterRate","dependencySameSideSameDirOuterRate","sameSideSameDirOuterDependencyRunMax","traceRegionTransitionRate","traceDirectionChangeRate","traceOuterSameSideSameDirRunMax","dependencyBraidBadLocalRate","dependencyBraidScore","hardStructureV3Score","hardStructureV3RawScore","hardStructureV3Class","causalEdgeCount","causalDistanceAvg","causalDistanceP20","causalCudAvg","causalCudP20","causalCudP50","causalUnlockLagAvg","causalUnlockLagP90","causalSolveDelayAvg","causalSolveDelayP90","causalCriticalLockCount","causalCrossRegionCriticalLockCount","causalFanoutMax","causalAntiLocalityScore","causalCrossRegionRate","causalDirectionChangeRate","supportClosureHubCount","supportClosureQualifiedHubCount","supportClosureQualifiedIndependentCount","supportClosureQualifiedMinOverlap","supportClosureQualifiedRoots","supportClosureAvgScore","supportClosureBestScore","supportClosureBestRawScore","supportClosureBestRoot","supportClosureBestDepth","supportClosureBestNodeCount","supportClosureBestEdgeCount","supportClosureBestValidRate","supportClosureBestConveyorRate","supportClosureBestRegionEntropy","supportClosureBestFrontierEntropy","supportClosureBestBranchMax","supportClosureBestLinearity","supportClosureBestCrossRegionRate","supportClosureBestDirectionChangeRate","supportClosureBestAvgDistance","supportClosureBestAvgDelay","supportClosureBestDelayVariance","strictDualGateCandidate","strictDualGateFailReasons","strictDualGateRawCandidate","strictDualGateRawFailReasons","strictDualGateCore","strictDualGateGateA","strictDualGateGateB","strictDualGateRayBlockers","strictDualGateGateAAncestors","strictDualGateGateBAncestors","strictDualGateGateARegion","strictDualGateGateBRegion","strictDualGateGateDistance","strictDualGateCoreFirstAvailableStep","strictDualGateGateAClearStep","strictDualGateGateBClearStep","strictDualGateAOnlyOpensCore","strictDualGateBOnlyOpensCore","strictDualGateAPlusBOpensCore","strictDualGateAInfluencesB","strictDualGateBInfluencesA","plannedTraceAnchorBridgeReplayScore","plannedTraceAnchorBridgeReplayDepth","plannedTraceAnchorBridgeReplayTarget","plannedTraceAnchorBridgeReplayHub","plannedTraceAnchorBridgeReplaySupport","plannedTraceAnchorBridgeReplayUpstream","plannedTraceAnchorBridgeReplayStaticTarget","plannedTraceAnchorBridgeReplayStaticSupport","plannedTraceAnchorBridgeReplayStaticUpstream","plannedTraceAnchorBridgeReplayOrderTarget","plannedTraceAnchorBridgeReplayOrderSupport","plannedTraceAnchorBridgeReplayOrderUpstream","plannedTraceAnchorBridgeReplayRegionEntropy","plannedTraceAnchorBridgeReplayAvgDelay","plannedTraceAnchorBridgeReplayFailureClass","plannedBridgePressureScore","plannedBridgeRequiredAvailableSteps","plannedBridgeRequiredClearSteps","plannedBridgeRequiredClearRate","plannedBridgeBypassAvailableSteps","plannedBridgeBypassAvailableRate","plannedBridgeBypassClearSteps","plannedBridgeBypassClearRate","plannedBridgeBypassClearRunMax","plannedBridgeBypassChoiceAvg","plannedBridgeBypassChoiceMax","directionalSolveRunMax","outerNearFollowCount","outerNearFollowRate","outerNearFollowRunMax","sameSideOuterFollowCount","sameSideOuterFollowRate","sameSideOuterFollowRunMax","outerNearDependencyCount","outerNearDependencyRate","outerNearDependencyRunMax","sameSideOuterDependencyCount","sameSideOuterDependencyRate","sameSideOuterDependencyRunMax","outerStraightSolveCount","outerStraightSolveRatio","outerStraightRunMax","sameSideOuterStraightRunMax","outerExitSolveCount","outerExitSolveRatio","outerExitSolveRunMax","sameSideOuterExitSolveRunMax","activeRegionAvg","stageGateRate","openedRegionCount","firstThirdRegionCount","lateRegionCount","regionActivationSpread","stageLockScore","choiceWindowMean","choiceWindowStd","choiceWindowMaxStd","choiceBandScore","collapsePressureIndex","choiceChangeRate","collapseEventRate","choiceRiseRate","choiceFlatRate","lowChoiceRunMax","unlockSpikeIndex","unlockEventDensity","unlockImpactPerStep","unlockPower","postSpikeConvergence","crossRegionUnlockRate","boringLinearScore","structuredHardnessV21","pseudoDepthTraceRisk","choiceWaveHead","sourceRhythmClass","sourceChoicePressure","sourcePseudoDepthRisk","processTier","processTierReason","tightProcessTier","tightProcessTierReason"
"sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureHardTrial\sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave.asset","21","30","63","True","63","0","0","0","0","0","0","0","0","5","0.079","2","62","0.016","0","0","2.332","2.181","0.151","0.419","0.581","0","0","0.438","0.381","0.22","0.323","4","6.62","7","8","10","0.079","0","0","0.032","22","0.349","28","3.095","5","0.468","0.762","1.746","4","0.264","0.476","3","2","18","6","3","49","10","0.831","1","6","2","2","10.732","1","5","29","0.468","5","19","0.306","4","16","0.258","3","11","0.177","3","3","5","5","27","0.435","4","0.852","0.444","0.333","0.778","7.781","2.912","4.864","0.185","0.111","1","0.581","0.435","1","0.778","0.422","0.072","0.535","LocalEasy","59","6.138","3.5","10.002","6.182","8.929","1","1","4.508","14","18","9","3","0.186","0.458","0.39","18","0","0","1","","0.058","0.715","0.715","9","3","3","6","0.5","0.5","0.918","0.811","1","1","0.5","0.667","5.614","8.833","11.978","False","aPlusBDoesNotOpenCore","False","aPlusBDoesNotOpenCore","52","44","34","44;47;45;27;34;32;31;50","1;3;13;33;42;44","0;12;29;30;34","3","0","13.2","53","42","21","False","False","False","False","False","0","0","-1","-1","-1","-1","0","0","0","0","0","0","0","0","missingStaticTargetRay","0","0","0","0","0","0","0","0","0","0","0","8","3","0.048","2","2","0.032","1","1","0.017","1","1","0.017","1","0","0","0","0","5","0.079","1","1","4.73","0.032","9","5","4","0.667","0.641","6.817","0.85","2.04","0","1","0.726","0.435","0.29","0.274","2","1.333","0.286","1.889","0.499","0.333","0.5","0.351","0.482","CounterfactualLocalFlow","4 6 7 6 8 8 10 9 8 7 7 8 8 8 7 7 6 5 6 6 7 6 6 7 8 7 6 5 4 5 7 9 9 8 7 6 7 7 6 5","PressureLongSmallScoreCurve","Unknown","Unknown","B","flow or late-campaign only","Drop","avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureHardTrial\sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst.asset","20","30","59","True","59","0","0","0","0","0","0","0","0","1","0.017","1","57","0.034","0","0","3.235","2.408","0.827","0.579","0.421","0","0","0.56","0.355","0.635","0.399","3","6.64","7","9","11","0.254","0.017","0","0.136","28","0.475","51","3.458","6","0.52","0.847","0.017","1","0.003","0","3","1","15","4","4","53","3","0.946","1","1","3","3","10.94","2","4","20","0.345","4","18","0.31","3","14","0.241","4","8","0.138","2","3","5","5","31","0.534","5","0.968","0.516","0.548","0.806","6.816","2","5.139","0.161","0.129","1","0.707","0.569","1","0.613","0.513","0.17","0.611","LocalEasy","56","6.412","4","10.305","7.381","9.8","1","1","4.982","28","15","11","4","0.339","0.5","0.536","15","0","0","1","","0.047","0.36","0.719","24","2","3","4","0.75","0.25","1","1","2","0.5","1","0.5","6.842","1","1.732","False","aPlusBDoesNotOpenCore","False","aPlusBDoesNotOpenCore","19","11","9","11;9;12;10","1;3;4;5;8;11","0;2;9","3","6","7.44","26","25","7","False","False","False","False","False","0","0","-1","-1","-1","-1","0","0","0","0","0","0","0","0","missingStaticTargetRay","0","0","0","0","0","0","0","0","0","0","0","7","3","0.052","2","2","0.034","1","3","0.054","2","2","0.036","1","0","0","0","0","1","0.017","1","1","3.661","0.136","9","8","1","0.441","0.345","6.916","0.743","2.482","0","1","0.655","0.397","0.259","0.345","7","1.4","0.254","1.932","0.527","0.25","0.733","0.342","0.501","DependencyFollowRun","3 3 6 9 8 7 7 8 7 8 9 8 8 8 8 10 10 10 9 11 10 9 9 8 9 10 10 9 9 8 8 7 6 7 6 7 8 7 7 8","PressureLongSmallScoreCurve","Unknown","Unknown","B","flow or late-campaign only","Drop","avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureHardTrial\sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle.asset","20","28","57","True","57","1","0.018","0.014","1","1","0.018","0.014","1","4","0.07","2","56","0.018","0","0","2.664","1.967","0.697","0.482","0.518","0","0.303","0.505","0.401","0.135","0.419","5","5.26","5","6","8","0","0","0","0.035","2","0.035","2","2.614","6","0.497","0.526","0.351","4","0.067","0.088","3","2","13","4","4","44","8","0.846","1","2","2","2","10.585","2","2","29","0.518","8","23","0.411","3","16","0.286","3","11","0.196","2","3","5","4","28","0.5","4","0.857","0.643","0.393","0.536","6.396","2.111","3.25","0.179","0.143","1","0.732","0.5","1","0.821","0.463","0.071","0.524","LocalEasy","52","5.988","2.893","10.103","5.6","9.4","1","1","4.058","14","13","10","4","0.154","0.538","0.462","13","0","0","1","","0.029","0.375","0.749","1","2","3","4","0.75","0.25","1","1","2","0.5","0.75","0.75","10.019","1.5","1.658","False","triConvergentBackboneDominates","True","","24","18","22","18;22;21","0;2;5;8;16;17;18","1;7;12;21;22","4","5","8.27","30","29","24","False","False","True","False","False","0","0","-1","-1","-1","-1","0","0","0","0","0","0","0","0","missingStaticTargetRay","0","0","0","0","0","0","0","0","0","0","0","10","5","0.089","2","3","0.054","2","4","0.077","2","3","0.058","2","1","0.018","1","1","4","0.07","2","1","4.316","0.035","9","8","1","0.526","0.34","5.385","0.718","1.414","0.246","1","0.625","0.393","0.232","0.375","2","1.385","0.228","1.754","0.496","0.25","0.769","0.294","0.529","CounterfactualLocalFlow","5 6 5 5 4 4 5 4 4 5 5 4 6 5 5 5 5 7 7 6 7 6 5 5 5 5 5 4 4 4 7 6 6 7 8 7 6 6 6 6","PressureLongSmallScoreCurve","Unknown","Unknown","B","flow or late-campaign only","Drop","openers > 4; avg > 4; p80 > 5; max > 7; local patch solve run; near-outer patch solve run; local window burst"
"sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureHardTrial\sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock.asset","22","28","63","True","63","0","0","0","0","0","0","0","0","5","0.079","3","60","0.048","0","0","2.39","2.334","0.055","0.383","0.617","0","0","0.417","0.281","0.16","0.306","3","5.71","6","8","12","0.175","0.048","0.016","0.159","21","0.333","40","2.333","4","0.408","0.524","0.46","3","0.081","0.032","3","2","17","6","5","52","8","0.867","1","6","3","3","10.052","2","6","32","0.516","9","19","0.306","4","21","0.339","4","14","0.226","4","5","5","5","23","0.371","5","0.87","0.522","0.304","0.609","6.476","2.133","4.375","0.174","0.087","1","0.629","0.452","2","0.87","0.416","0.078","0.58","LocalEasy","60","6.089","3.433","10.606","7.267","10.393","1","1","4.883","10","17","14","5","0.233","0.483","0.533","17","0","0","1","","0.084","0.737","0.737","6","3","3","8","0.375","0.625","1","0.811","1","1","0.875","0.5","6.956","4.125","5.51","False","gateAncestryOverlap|gateSystemsInterdependent","False","gateAncestryOverlap|gateSystemsInterdependent","24","22","18","22;11;10;18;14","0;6;9;10;11;22","0;6;14;18","4","2","14.18","29","28","16","False","False","True","False","False","0","0","-1","-1","-1","-1","0","0","0","0","0","0","0","0","missingStaticTargetRay","0","0","0","0","0","0","0","0","0","0","0","8","5","0.081","2","5","0.081","2","2","0.033","1","2","0.033","1","0","0","0","0","5","0.079","2","1","3.778","0.286","9","6","2","0.619","0.593","5.956","1.028","1.939","0.095","1","0.742","0.468","0.274","0.258","3","1.588","0.27","2.286","0.594","0.167","0.824","0.333","0.542","CounterfactualLocalFlow","3 2 2 1 3 4 3 3 3 2 2 4 3 2 1 2 6 5 4 4 5 6 8 9 9 9 8 8 8 8 7 8 9 12 11 11 10 9 8 9","PressureLongSmallScoreCurve","Unknown","Unknown","B","flow or late-campaign only","Drop","avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
